	element	sub_ids	regions	elm_type	stroke	freq2	count2	dep2
7725	妞	⿰女丑	GHTKP		7	1654.7	1	('妞', '𫃩')
7726	陂	⿰阝皮	GHTJKPV		7	2850.9	1	('陂', '𤚆', '𨧦')
7727	𤆍	⿱大火	GT		7	2796.8	1	('𤆍', '𢽀', '𣵩', '𤊜', '𤍾', '𥨴', '𥨴', '𦫜', '𧌝', '𱫀', '爨', '爨', '爨', '𤏷', '𫴘', '𬋡', '𣡿', '𥎤', '𥎥', '𩎑')
7728	纽	⿰纟丑	G		7	2731.1	1	('纽', '𬜺')
7729	汾	⿰氵分	GHTJKP		7	2611.0	1	('汾', '𡌂', '𥁳', '𦰛')
7730	岗	⿱山冈	GT		7	2609.1	1	('岗', '𭗂', '𭠽')
7731	决	⿰冫夬	GHTJKP		6	171961.6	1	('决', '𦛇', '𪁠', '𪟅', '𪭱')
7732	机	⿰木几	GHTJKPV		6	164293.5	1	('机', '𣌯', '𦊵', '𩍊', '𪳴', '𱽟')
7733	棊	⿱其木	GHTJKP		12	306.8	1	('棊', '㯦', '𤩒', '𦻆', '𧬗', '𰟙')
7734	祼	⿰礻果	GHT		12	284.35	1	('祼', '𫲁')
7735	祼	⿰示果	JKP		12	284.35	1	('祼', '𫲁')
7736	犇	⿱牛牪	GHTJKP		12	270.8	1	('犇', '𠎔', '𢵜', '𤂤')
7737	渫	⿰氵枼	GHTJKP		12	268.4	1	('渫', '𦻜')
7738	忤	⿰忄午	GHTJKPV		7	3689.8	1	('忤', '𫼎', '𫼎')
7739	刪	⿰冊刂	GHTJKP		7	3511.8	1	('刪', '䈀')
7740	坊	⿰土方	GHTJKPV		7	3411.2	1	('坊', '𠩝', '\U0002ec23', '𱁔')
7741	彤	⿰丹彡	GHTJKP		7	3355.8	1	('彤', '浵', '烿')
7742	鈐	⿰釒今	GHTJKPV		12	332.6	1	('鈐', '𤪊')
7743	揔	⿰扌怱	GTJKP		12	320.8	1	('揔', '𥳺')
7744	喪	⿱⿻土吅{25}	GHTJKPV		12	125505.0	1	('喪', '𣾓', '𦅇', '𦅇', '𩦌', '𫛑', '𫟣', '𬦟', '𰘧')
